,airline_id,attribute_name,rating
0,0,Legroom,2.5
1,0,Seat comfort,2.5
2,0,"In-flight entertainment (WiFi, TV, movies)",1.5
3,0,Onboard Experience,2.5
4,0,Customer service,2.5
5,0,Value for money,2.5
6,0,Cleanliness,3.0
7,0,Check-in and boarding,2.5
8,1,Legroom,3.5
9,1,Seat comfort,3.5
10,1,"In-flight entertainment (WiFi, TV, movies)",3.0
11,1,Onboard Experience,3.5
12,1,Customer service,3.5
13,1,Value for money,4.0
14,1,Cleanliness,4.0
15,1,Check-in and boarding,4.0
16,2,Legroom,3.0
17,2,Seat comfort,3.0
18,2,"In-flight entertainment (WiFi, TV, movies)",2.0
19,2,Onboard Experience,3.0
20,2,Customer service,2.5
21,2,Value for money,3.0
22,2,Cleanliness,3.0
23,2,Check-in and boarding,3.0
