Departure Time,Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Scrape Time,Flight Code,Fare Class,Departure Location Code,Airline_id
2025-04-01 23:05:00,Người lớn,1,1249000,804000,2053000,7,,2025-03-31 08:55:44,QH290,ECONOMYSMART,SGN,AL001
2025-04-01 05:10:00,Người lớn,1,1419000,818000,2237000,7,,2025-03-31 08:55:45,QH202,ECONOMYSMART,SGN,AL001
2025-04-01 18:45:00,Người lớn,1,1419000,818000,2237000,7,,2025-03-31 08:55:46,QH268,ECONOMYSMART,SGN,AL001
2025-04-01 20:00:00,Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:46,VJ1176,I1_ECO,SGN,AL002
2025-04-01 20:05:00,Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:47,VJ1160,I1_ECO,SGN,AL002
2025-04-01 21:00:00,Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:48,VJ174,I1_ECO,SGN,AL002
2025-04-01 05:45:00,Người lớn,1,1518000,880000,2398000,7,,2025-03-31 08:55:48,VU750,O,SGN,AL003
2025-04-01 23:00:00,Người lớn,1,1999000,849000,2848000,10,23.0,2025-03-31 08:55:49,VN270,L,SGN,AL004
2025-04-01 16:00:00,Người lớn,1,2209000,866000,3075000,10,23.0,2025-03-31 08:55:49,VN216,K,SGN,AL004
2025-04-01 17:00:00,Người lớn,1,2209000,866000,3075000,10,23.0,2025-03-31 08:55:50,VN254,K,SGN,AL004
2025-04-01 04:55:00,Người lớn,1,2209000,866000,3075000,7,23.0,2025-03-31 08:55:51,VN6002,K,SGN,AL005
2025-04-01 21:25:00,Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:51,VJ180,I1_ECO,SGN,AL002
2025-04-01 22:10:00,Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:52,VJ172,I1_ECO,SGN,AL002
2025-04-01 22:55:00,Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:53,VJ1168,I1_ECO,SGN,AL002
2025-04-01 23:35:00,Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:53,VJ1170,I1_ECO,SGN,AL002
2025-04-01 05:00:00,Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:54,VJ1198,B1_ECO,SGN,AL002
2025-04-01 06:15:00,Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:54,VJ196,B1_ECO,SGN,AL002
2025-04-01 06:30:00,Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:55,VJ1180,B1_ECO,SGN,AL002
2025-04-01 07:10:00,Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:56,VJ190,B1_ECO,SGN,AL002
2025-04-01 07:30:00,Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:56,VJ120,B1_ECO,SGN,AL002
2025-04-01 08:10:00,Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:57,VJ1126,B1_ECO,SGN,AL002
2025-04-01 16:05:00,Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:58,VJ150,B1_ECO,SGN,AL002
2025-04-01 16:50:00,Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:58,VJ1162,B1_ECO,SGN,AL002
2025-04-01 17:20:00,Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:59,VJ1152,B1_ECO,SGN,AL002
2025-04-01 18:45:00,Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:59,VJ1156,B1_ECO,SGN,AL002
2025-04-01 19:40:00,Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:56:00,VJ1158,B1_ECO,SGN,AL002
2025-04-01 07:10:00,Người lớn,1,1629000,835000,2464000,7,,2025-03-31 08:56:01,QH204,ECONOMYSMART,SGN,AL001
2025-04-01 15:45:00,Người lớn,1,1629000,835000,2464000,7,,2025-03-31 08:56:01,QH254,ECONOMYSMART,SGN,AL001
2025-04-01 09:20:00,Người lớn,1,1790000,848000,2638000,7,,2025-03-31 08:56:02,VJ124,H1_ECO,SGN,AL002
2025-04-01 09:40:00,Người lớn,1,1790000,848000,2638000,7,,2025-03-31 08:56:03,VJ1132,H1_ECO,SGN,AL002
2025-04-01 10:25:00,Người lớn,1,1790000,848000,2638000,7,,2025-03-31 08:56:03,VJ1130,H1_ECO,SGN,AL002
2025-04-01 12:10:00,Người lớn,1,1790000,848000,2638000,7,,2025-03-31 08:56:04,VJ178,H1_ECO,SGN,AL002
2025-04-01 13:10:00,Người lớn,1,1790000,848000,2638000,7,,2025-03-31 08:56:05,VJ140,H1_ECO,SGN,AL002
2025-04-01 15:25:00,Người lớn,1,1790000,848000,2638000,7,,2025-03-31 08:56:05,VJ146,H1_ECO,SGN,AL002
2025-04-01 10:40:00,Người lớn,1,1839000,852000,2691000,7,,2025-03-31 08:56:06,QH224,ECONOMYSMART,SGN,AL001
2025-04-01 12:50:00,Người lớn,1,1839000,852000,2691000,7,,2025-03-31 08:56:06,QH242,ECONOMYSMART,SGN,AL001
2025-04-01 19:35:00,Người lớn,1,2209000,866000,3075000,10,23.0,2025-03-31 08:56:07,VN262,K,SGN,AL004
2025-04-01 20:00:00,Người lớn,1,2209000,866000,3075000,10,23.0,2025-03-31 08:56:08,VN220,K,SGN,AL004
2025-04-01 20:30:00,Người lớn,1,2209000,866000,3075000,10,23.0,2025-03-31 08:56:07,VN256,K,SGN,AL004
2025-04-01 21:00:00,Người lớn,1,2209000,866000,3075000,10,23.0,2025-03-31 08:56:08,VN260,K,SGN,AL004
2025-04-01 14:00:00,Người lớn,1,2419000,883000,3302000,10,23.0,2025-03-31 08:56:08,VN214,H,SGN,AL004
2025-04-01 15:00:00,Người lớn,1,2419000,883000,3302000,10,23.0,2025-03-31 08:56:09,VN250,H,SGN,AL004
2025-04-01 16:40:00,Người lớn,1,2419000,883000,3302000,10,23.0,2025-03-31 08:56:10,VN252,H,SGN,AL004
2025-04-01 18:00:00,Người lớn,1,2419000,883000,3302000,10,23.0,2025-03-31 08:56:10,VN218,H,SGN,AL004
2025-04-01 06:30:00,Người lớn,1,2609000,898000,3507000,10,23.0,2025-03-31 08:56:11,VN7206,S,SGN,AL004
2025-04-01 11:00:00,Người lớn,1,2609000,898000,3507000,10,23.0,2025-03-31 08:56:11,VN246,S,SGN,AL004
2025-04-01 12:00:00,Người lớn,1,2609000,898000,3507000,10,23.0,2025-03-31 08:56:12,VN212,S,SGN,AL004
2025-04-01 13:00:00,Người lớn,1,2789000,913000,3702000,10,23.0,2025-03-31 08:56:13,VN248,M,SGN,AL004
2025-04-01 19:00:00,Người lớn,1,2789000,913000,3702000,10,23.0,2025-03-31 08:56:13,VN258,M,SGN,AL004
2025-04-01 22:00:00,Người lớn,1,2789000,913000,3702000,10,23.0,2025-03-31 08:56:14,VN224,M,SGN,AL004
2025-04-01 10:00:00,Người lớn,1,2937000,924000,3861000,10,23.0,2025-03-31 08:56:15,VN210,B,SGN,AL004
2025-04-01 06:00:00,Người lớn,1,3137000,940000,4077000,10,23.0,2025-03-31 08:56:15,VN206,U,SGN,AL004
2025-04-01 07:00:00,Người lớn,1,3137000,940000,4077000,10,23.0,2025-03-31 08:56:16,VN240,U,SGN,AL004
2025-04-01 08:00:00,Người lớn,1,3137000,940000,4077000,10,23.0,2025-03-31 08:56:16,VN208,U,SGN,AL004
2025-04-01 23:00:00,Người lớn,1,3137000,940000,4077000,18,32.0,2025-03-31 08:56:17,VN270,I,SGN,AL004
2025-04-01 04:55:00,Người lớn,1,3137000,940000,4077000,7,32.0,2025-03-31 08:56:18,VN6002,I,SGN,AL005
2025-04-01 20:30:00,Người lớn,1,3137000,940000,4077000,18,32.0,2025-03-31 08:56:18,VN256,I,SGN,AL004
2025-04-01 21:00:00,Người lớn,1,3137000,940000,4077000,18,32.0,2025-03-31 08:56:19,VN260,I,SGN,AL004
2025-04-01 22:00:00,Người lớn,1,3137000,940000,4077000,18,32.0,2025-03-31 08:56:20,VN224,I,SGN,AL004
2025-04-01 06:00:00,Người lớn,1,3837000,996000,4833000,18,32.0,2025-03-31 08:56:20,VN206,D,SGN,AL004
2025-04-01 23:05:00,Người lớn,1,4399000,1056000,5455000,14,40.0,2025-03-31 08:56:21,QH290,BUSINESSSMART,SGN,AL001
2025-04-01 05:10:00,Người lớn,1,4399000,1056000,5455000,14,40.0,2025-03-31 08:56:21,QH202,BUSINESSSMART,SGN,AL001
2025-04-01 15:45:00,Người lớn,1,4399000,1056000,5455000,14,40.0,2025-03-31 08:56:22,QH254,BUSINESSSMART,SGN,AL001
2025-04-01 09:00:00,Người lớn,1,4437000,1044000,5481000,10,23.0,2025-03-31 08:56:23,VN244,W,SGN,AL004
2025-04-01 06:30:00,Người lớn,1,4899000,1081000,5980000,18,32.0,2025-03-31 08:56:23,VN7206,I,SGN,AL004
2025-04-01 07:00:00,Người lớn,1,4899000,1081000,5980000,18,32.0,2025-03-31 08:56:24,VN240,I,SGN,AL004
2025-04-01 06:30:00,Người lớn,1,5390000,1136000,6526000,18,40.0,2025-03-31 08:56:24,VJ1180,C_Boss,SGN,AL002
2025-04-01 12:10:00,Người lớn,1,5390000,1136000,6526000,18,40.0,2025-03-31 08:56:25,VJ178,C_Boss,SGN,AL002
2025-04-01 16:00:00,Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:26,VN216,J,SGN,AL004
2025-04-01 17:00:00,Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:26,VN254,J,SGN,AL004
2025-04-01 19:35:00,Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:27,VN262,J,SGN,AL004
2025-04-01 20:00:00,Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:28,VN220,J,SGN,AL004
2025-04-01 14:00:00,Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:28,VN214,J,SGN,AL004
2025-04-01 15:00:00,Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:29,VN250,J,SGN,AL004
2025-04-01 16:40:00,Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:29,VN252,J,SGN,AL004
2025-04-01 18:00:00,Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:30,VN218,J,SGN,AL004
