Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Scrape Time,Fare Class,Departure Location Code,Arrival Location Code,Airline_id
Người lớn,1,1249000,804000,2053000,7,,2025-03-31 08:55:44,ECONOMYSMART,SGN,HAN,AL001
Người lớn,1,1419000,818000,2237000,7,,2025-03-31 08:55:45,ECONOMYSMART,SGN,HAN,AL001
Người lớn,1,1419000,818000,2237000,7,,2025-03-31 08:55:46,ECONOMYSMART,SGN,HAN,AL001
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:46,I1_ECO,SGN,HAN,AL002
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:47,I1_ECO,SGN,HAN,AL002
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:48,I1_ECO,SGN,HAN,AL002
Người lớn,1,1518000,880000,2398000,7,,2025-03-31 08:55:48,O,SGN,HAN,AL003
Người lớn,1,1999000,849000,2848000,10,23.0,2025-03-31 08:55:49,L,SGN,HAN,AL004
Người lớn,1,2209000,866000,3075000,10,23.0,2025-03-31 08:55:49,K,SGN,HAN,AL004
Người lớn,1,2209000,866000,3075000,10,23.0,2025-03-31 08:55:50,K,SGN,HAN,AL004
Người lớn,1,2209000,866000,3075000,7,23.0,2025-03-31 08:55:51,K,SGN,HAN,AL005
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:51,I1_ECO,SGN,HAN,AL002
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:52,I1_ECO,SGN,HAN,AL002
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:55:53,I1_ECO,SGN,HAN,AL002
Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:54,B1_ECO,SGN,HAN,AL002
Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:55,B1_ECO,SGN,HAN,AL002
Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:56,B1_ECO,SGN,HAN,AL002
Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:57,B1_ECO,SGN,HAN,AL002
Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:58,B1_ECO,SGN,HAN,AL002
Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:55:59,B1_ECO,SGN,HAN,AL002
Người lớn,1,1610000,833000,2443000,7,,2025-03-31 08:56:00,B1_ECO,SGN,HAN,AL002
Người lớn,1,1629000,835000,2464000,7,,2025-03-31 08:56:01,ECONOMYSMART,SGN,HAN,AL001
Người lớn,1,1790000,848000,2638000,7,,2025-03-31 08:56:02,H1_ECO,SGN,HAN,AL002
Người lớn,1,1790000,848000,2638000,7,,2025-03-31 08:56:03,H1_ECO,SGN,HAN,AL002
Người lớn,1,1790000,848000,2638000,7,,2025-03-31 08:56:04,H1_ECO,SGN,HAN,AL002
Người lớn,1,1790000,848000,2638000,7,,2025-03-31 08:56:05,H1_ECO,SGN,HAN,AL002
Người lớn,1,1839000,852000,2691000,7,,2025-03-31 08:56:06,ECONOMYSMART,SGN,HAN,AL001
Người lớn,1,2209000,866000,3075000,10,23.0,2025-03-31 08:56:07,K,SGN,HAN,AL004
Người lớn,1,2209000,866000,3075000,10,23.0,2025-03-31 08:56:08,K,SGN,HAN,AL004
Người lớn,1,2419000,883000,3302000,10,23.0,2025-03-31 08:56:08,H,SGN,HAN,AL004
Người lớn,1,2419000,883000,3302000,10,23.0,2025-03-31 08:56:09,H,SGN,HAN,AL004
Người lớn,1,2419000,883000,3302000,10,23.0,2025-03-31 08:56:10,H,SGN,HAN,AL004
Người lớn,1,2609000,898000,3507000,10,23.0,2025-03-31 08:56:11,S,SGN,HAN,AL004
Người lớn,1,2609000,898000,3507000,10,23.0,2025-03-31 08:56:12,S,SGN,HAN,AL004
Người lớn,1,2789000,913000,3702000,10,23.0,2025-03-31 08:56:13,M,SGN,HAN,AL004
Người lớn,1,2789000,913000,3702000,10,23.0,2025-03-31 08:56:14,M,SGN,HAN,AL004
Người lớn,1,2937000,924000,3861000,10,23.0,2025-03-31 08:56:15,B,SGN,HAN,AL004
Người lớn,1,3137000,940000,4077000,10,23.0,2025-03-31 08:56:15,U,SGN,HAN,AL004
Người lớn,1,3137000,940000,4077000,10,23.0,2025-03-31 08:56:16,U,SGN,HAN,AL004
Người lớn,1,3137000,940000,4077000,18,32.0,2025-03-31 08:56:17,I,SGN,HAN,AL004
Người lớn,1,3137000,940000,4077000,7,32.0,2025-03-31 08:56:18,I,SGN,HAN,AL005
Người lớn,1,3137000,940000,4077000,18,32.0,2025-03-31 08:56:18,I,SGN,HAN,AL004
Người lớn,1,3137000,940000,4077000,18,32.0,2025-03-31 08:56:19,I,SGN,HAN,AL004
Người lớn,1,3137000,940000,4077000,18,32.0,2025-03-31 08:56:20,I,SGN,HAN,AL004
Người lớn,1,3837000,996000,4833000,18,32.0,2025-03-31 08:56:20,D,SGN,HAN,AL004
Người lớn,1,4399000,1056000,5455000,14,40.0,2025-03-31 08:56:21,BUSINESSSMART,SGN,HAN,AL001
Người lớn,1,4399000,1056000,5455000,14,40.0,2025-03-31 08:56:22,BUSINESSSMART,SGN,HAN,AL001
Người lớn,1,4437000,1044000,5481000,10,23.0,2025-03-31 08:56:23,W,SGN,HAN,AL004
Người lớn,1,4899000,1081000,5980000,18,32.0,2025-03-31 08:56:23,I,SGN,HAN,AL004
Người lớn,1,4899000,1081000,5980000,18,32.0,2025-03-31 08:56:24,I,SGN,HAN,AL004
Người lớn,1,5390000,1136000,6526000,18,40.0,2025-03-31 08:56:24,C_Boss,SGN,HAN,AL002
Người lớn,1,5390000,1136000,6526000,18,40.0,2025-03-31 08:56:25,C_Boss,SGN,HAN,AL002
Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:26,J,SGN,HAN,AL004
Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:27,J,SGN,HAN,AL004
Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:28,J,SGN,HAN,AL004
Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:29,J,SGN,HAN,AL004
Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:30,J,SGN,HAN,AL004
Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:31,J,SGN,HAN,AL004
Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:32,J,SGN,HAN,AL004
Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:33,J,SGN,HAN,AL004
Người lớn,1,7599000,1297000,8896000,18,32.0,2025-03-31 08:56:34,J,SGN,HAN,AL004
Người lớn,1,1249000,804000,2053000,7,,2025-03-31 08:56:40,ECONOMYSMART,SGN,HAN,AL001
Người lớn,1,1249000,804000,2053000,7,,2025-03-31 08:56:41,ECONOMYSMART,SGN,HAN,AL001
Người lớn,1,1290000,808000,2098000,7,,2025-03-31 08:56:42,J1_ECO,SGN,HAN,AL002
Người lớn,1,1290000,808000,2098000,7,,2025-03-31 08:56:43,J1_ECO,SGN,HAN,AL002
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:56:43,I1_ECO,SGN,HAN,AL002
Người lớn,1,1518000,880000,2398000,7,,2025-03-31 08:56:44,O,SGN,HAN,AL003
Người lớn,1,1639000,821000,2460000,10,23.0,2025-03-31 08:56:45,N,SGN,HAN,AL004
Người lớn,1,1639000,821000,2460000,7,23.0,2025-03-31 08:56:45,N,SGN,HAN,AL005
Người lớn,1,1809000,834000,2643000,10,23.0,2025-03-31 08:56:46,Q,SGN,HAN,AL004
Người lớn,1,1419000,818000,2237000,7,,2025-03-31 08:56:47,ECONOMYSMART,SGN,HAN,AL001
Người lớn,1,1419000,818000,2237000,7,,2025-03-31 08:56:48,ECONOMYSMART,SGN,HAN,AL001
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:56:49,I1_ECO,SGN,HAN,AL002
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:56:50,I1_ECO,SGN,HAN,AL002
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:56:51,I1_ECO,SGN,HAN,AL002
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:56:52,I1_ECO,SGN,HAN,AL002
Người lớn,1,1440000,820000,2260000,7,,2025-03-31 08:56:53,I1_ECO,SGN,HAN,AL002
