Departure Location,Departure Time,Arrival Location,Arrival Time,Flight Duration,Aircraft Type,Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Refund Policy,Scrape Time,Airline,Flight Code,Fare Class
TP Hồ Chí Minh (SGN),2025-04-01 23:05:00,Hà Nội (HAN),2025-04-02 01:15:00,2.17,Airbus A321,Người lớn,1,1249000,804000,2053000,7kg,,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:44,Bamboo Airways,QH290,ECONOMYSMART
TP Hồ Chí Minh (SGN),2025-04-01 05:10:00,Hà Nội (HAN),2025-04-01 07:20:00,2.17,Airbus A321,Người lớn,1,1419000,818000,2237000,7kg,,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:45,Bamboo Airways,QH202,ECONOMYSMART
TP Hồ Chí Minh (SGN),2025-04-01 18:45:00,Hà Nội (HAN),2025-04-01 20:55:00,2.17,Airbus A320,Người lớn,1,1419000,818000,2237000,7kg,,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:46,Bamboo Airways,QH268,ECONOMYSMART
TP Hồ Chí Minh (SGN),2025-04-01 20:00:00,Hà Nội (HAN),2025-04-01 22:10:00,2.17,Airbus A320,Người lớn,1,1440000,820000,2260000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:46,Vietjet Air,VJ1176,I1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 20:05:00,Hà Nội (HAN),2025-04-01 22:10:00,2.08,Airbus A321,Người lớn,1,1440000,820000,2260000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:47,Vietjet Air,VJ1160,I1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 21:00:00,Hà Nội (HAN),2025-04-01 23:10:00,2.17,Airbus A321,Người lớn,1,1440000,820000,2260000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:48,Vietjet Air,VJ174,I1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 05:45:00,Hà Nội (HAN),2025-04-01 07:55:00,2.17,Airbus A321,Người lớn,1,1518000,880000,2398000,7kg,,[],2025-03-31 08:55:48,Vietravel Airlines,VU750,O
TP Hồ Chí Minh (SGN),2025-04-01 23:00:00,Hà Nội (HAN),2025-04-02 01:05:00,2.08,Boeing 787,Người lớn,1,1999000,849000,2848000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:55:49,Vietnam Airlines,VN270,L
TP Hồ Chí Minh (SGN),2025-04-01 16:00:00,Hà Nội (HAN),2025-04-01 18:05:00,2.08,Boeing 787,Người lớn,1,2209000,866000,3075000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:55:49,Vietnam Airlines,VN216,K
TP Hồ Chí Minh (SGN),2025-04-01 17:00:00,Hà Nội (HAN),2025-04-01 19:10:00,2.17,Boeing 787,Người lớn,1,2209000,866000,3075000,10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:55:50,Vietnam Airlines,VN254,K
TP Hồ Chí Minh (SGN),2025-04-01 04:55:00,Hà Nội (HAN),2025-04-01 07:05:00,2.17,Airbus A321,Người lớn,1,2209000,866000,3075000,7kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:55:51,Pacific Airlines,VN6002,K
TP Hồ Chí Minh (SGN),2025-04-01 21:25:00,Hà Nội (HAN),2025-04-01 23:25:00,2.0,Airbus A320,Người lớn,1,1440000,820000,2260000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:51,Vietjet Air,VJ180,I1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 22:10:00,Hà Nội (HAN),2025-04-02 00:20:00,2.17,Airbus A321,Người lớn,1,1440000,820000,2260000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:52,Vietjet Air,VJ172,I1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 22:55:00,Hà Nội (HAN),2025-04-02 01:05:00,2.17,Airbus A320,Người lớn,1,1440000,820000,2260000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:53,Vietjet Air,VJ1168,I1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 23:35:00,Hà Nội (HAN),2025-04-02 01:45:00,2.17,Airbus A321,Người lớn,1,1440000,820000,2260000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:53,Vietjet Air,VJ1170,I1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 05:00:00,Hà Nội (HAN),2025-04-01 07:10:00,2.17,320B,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:54,Vietjet Air,VJ1198,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 06:15:00,Hà Nội (HAN),2025-04-01 08:25:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:54,Vietjet Air,VJ196,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 06:30:00,Hà Nội (HAN),2025-04-01 08:40:00,2.17,Airbus A330,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:55,Vietjet Air,VJ1180,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 07:10:00,Hà Nội (HAN),2025-04-01 09:20:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:56,Vietjet Air,VJ190,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 07:30:00,Hà Nội (HAN),2025-04-01 09:40:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:56,Vietjet Air,VJ120,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 08:10:00,Hà Nội (HAN),2025-04-01 10:20:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:57,Vietjet Air,VJ1126,B1_ECO
TP Hồ Chí Minh (SGN),2025-04-01 16:05:00,Hà Nội (HAN),2025-04-01 18:15:00,2.17,Airbus A321,Người lớn,1,1610000,833000,2443000,7kg,,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:58,Vietjet Air,VJ150,B1_ECO
