,popular_mention,airline_id
0,budget airline,0
1,chiang rai,0
2,low cost airline,0
3,bad reviews,0
4,low budget,0
5,da nang,1
6,ho chi minh,1
7,internal flights,1
8,phu quoc,1
9,lotus lounge,1
10,premium economy,1
11,domestic terminal,1
12,short flight,1
13,noodles,1
14,fish,1
15,flat bed,1
16,full service,1
17,through immigration,1
18,plenty of leg room,1
19,fruit,1
20,saigon,1
21,sgn,1
22,dreamliner,1
23,trang,1
24,hoi,1
25,english,1
26,visas,1
27,slippers,1
28,city,1
29,beds,1
30,sector,1
31,phu quoc,2
32,ho chi minh,2
33,seating layout,2
34,wouldn t hesitate,2
35,food on offer,2
36,sandwich,2
37,service offered,2
38,bad reviews,2
39,affordable price,2
40,food beverage,2
41,from london gatwick,2
42,budget airline,2
43,light meal,2
44,great choice,2
45,great value for money,2
46,business class passengers,2
47,full refund,2
48,fish,2
49,hot meal,2
50,full service,2
51,great experience,2
52,great customer service,2
53,be honest,2
54,return journey,2
55,doesn t,2
56,decoration,2
57,sgn,2
58,saigon,2
59,escort,2
60,econ,2
