Departure Location,Departure Time,Arrival Location,Arrival Time,Flight Duration,Aircraft Type,Ticket Price,Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Refund Policy,Scrape Time
TP Hồ Chí Minh (SGN),"21:25, 13/04/2025",Đà Nẵng (DAD),"22:50, 13/04/2025",1 giờ 25 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ1644   Hạng vé : W1_ECO,Người lớn,1,"610,000 VNĐ","753,000 VNĐ","1,363,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 21:56:47
TP Hồ Chí Minh (SGN),"20:25, 13/04/2025",Đà Nẵng (DAD),"21:50, 13/04/2025",1 giờ 25 phút,Máy bay: Airbus A321,Bamboo Airways  Chuyến bay: QH186   Hạng vé : ECONOMYSMART,Người lớn,1,"769,000 VNĐ","766,000 VNĐ","1,535,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 21:56:48
TP Hồ Chí Minh (SGN),"12:30, 13/04/2025",Đà Nẵng (DAD),"13:50, 13/04/2025",1 giờ 20 phút,320B,Vietjet Air  Chuyến bay: VJ648   Hạng vé : I1_ECO,Người lớn,1,"1,000,000 VNĐ","784,000 VNĐ","1,784,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 21:56:48
TP Hồ Chí Minh (SGN),"06:30, 13/04/2025",Đà Nẵng (DAD),"07:55, 13/04/2025",1 giờ 25 phút,Máy bay: Airbus A321,Bamboo Airways  Chuyến bay: QH150   Hạng vé : ECONOMYSMART,Người lớn,1,"1,069,000 VNĐ","790,000 VNĐ","1,859,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 21:56:49
TP Hồ Chí Minh (SGN),"18:50, 13/04/2025",Đà Nẵng (DAD),"20:10, 13/04/2025",1 giờ 20 phút,Máy bay: Airbus A320,Vietnam Airlines  Chuyến bay: VN7112   Hạng vé : Q,Người lớn,1,"1,089,000 VNĐ","777,000 VNĐ","1,866,000 VNĐ",10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-04-12 21:56:50
TP Hồ Chí Minh (SGN),"21:05, 13/04/2025",Đà Nẵng (DAD),"22:25, 13/04/2025",1 giờ 20 phút,Máy bay: Airbus A321,Vietravel Airlines  Chuyến bay: VU680   Hạng vé : Q,Người lớn,1,"1,128,000 VNĐ","816,000 VNĐ","1,944,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,,2025-04-12 21:56:50
TP Hồ Chí Minh (SGN),"10:25, 13/04/2025",Đà Nẵng (DAD),"11:50, 13/04/2025",1 giờ 25 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ654   Hạng vé : H1_ECO,Người lớn,1,"1,250,000 VNĐ","804,000 VNĐ","2,054,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-04-12 21:56:50
TP Hồ Chí Minh (SGN),"19:15, 13/04/2025",Đà Nẵng (DAD),"20:40, 13/04/2025",1 giờ 25 phút,Máy bay: Airbus A321,Vietnam Airlines  Chuyến bay: VN146   Hạng vé : K,Người lớn,1,"1,349,000 VNĐ","797,000 VNĐ","2,146,000 VNĐ",10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-04-12 21:56:50
TP Hồ Chí Minh (SGN),"05:45, 13/04/2025",Đà Nẵng (DAD),"07:10, 13/04/2025",1 giờ 25 phút,Máy bay: Airbus A321,Vietnam Airlines  Chuyến bay: VN106   Hạng vé : H,Người lớn,1,"1,489,000 VNĐ","809,000 VNĐ","2,298,000 VNĐ",10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-04-12 21:56:51
TP Hồ Chí Minh (SGN),"12:15, 13/04/2025",Đà Nẵng (DAD),"13:40, 13/04/2025",1 giờ 25 phút,Máy bay: Airbus A321,Pacific Airlines  Chuyến bay: VN6036   Hạng vé : B,Người lớn,1,"1,787,000 VNĐ","832,000 VNĐ","2,619,000 VNĐ",7kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé miễn phí', '- Miễn phí chọn ghế']",2025-04-12 21:56:51
