Departure Location,Departure Time,Arrival Location,Arrival Time,Flight Duration,Aircraft Type,Ticket Price,Passenger Type,Number of Tickets,Price per Ticket,Taxes & Fees,Total Price,Carry-on Baggage,Checked Baggage,Refund Policy,Scrape Time
TP Hồ Chí Minh (SGN),"23:05, 01/04/2025",Hà Nội (HAN),"01:15, 02/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Bamboo Airways  Chuyến bay: QH290   Hạng vé : ECONOMYSMART,Người lớn,1,"1,249,000 VNĐ","804,000 VNĐ","2,053,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:44
TP Hồ Chí Minh (SGN),"05:10, 01/04/2025",Hà Nội (HAN),"07:20, 01/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Bamboo Airways  Chuyến bay: QH202   Hạng vé : ECONOMYSMART,Người lớn,1,"1,419,000 VNĐ","818,000 VNĐ","2,237,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:45
TP Hồ Chí Minh (SGN),"18:45, 01/04/2025",Hà Nội (HAN),"20:55, 01/04/2025",2 giờ 10 phút,Máy bay: Airbus A320,Bamboo Airways  Chuyến bay: QH268   Hạng vé : ECONOMYSMART,Người lớn,1,"1,419,000 VNĐ","818,000 VNĐ","2,237,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng hoàn vé mất phí', '- Áp dụng đổi vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:46
TP Hồ Chí Minh (SGN),"20:00, 01/04/2025",Hà Nội (HAN),"22:10, 01/04/2025",2 giờ 10 phút,Máy bay: Airbus A320,Vietjet Air  Chuyến bay: VJ1176   Hạng vé : I1_ECO,Người lớn,1,"1,440,000 VNĐ","820,000 VNĐ","2,260,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:46
TP Hồ Chí Minh (SGN),"20:05, 01/04/2025",Hà Nội (HAN),"22:10, 01/04/2025",2 giờ 5 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ1160   Hạng vé : I1_ECO,Người lớn,1,"1,440,000 VNĐ","820,000 VNĐ","2,260,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:47
TP Hồ Chí Minh (SGN),"21:00, 01/04/2025",Hà Nội (HAN),"23:10, 01/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietjet Air  Chuyến bay: VJ174   Hạng vé : I1_ECO,Người lớn,1,"1,440,000 VNĐ","820,000 VNĐ","2,260,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:48
TP Hồ Chí Minh (SGN),"05:45, 01/04/2025",Hà Nội (HAN),"07:55, 01/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Vietravel Airlines  Chuyến bay: VU750   Hạng vé : O,Người lớn,1,"1,518,000 VNĐ","880,000 VNĐ","2,398,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,,2025-03-31 08:55:48
TP Hồ Chí Minh (SGN),"23:00, 01/04/2025",Hà Nội (HAN),"01:05, 02/04/2025",2 giờ 5 phút,Boeing 787 (máy bay lớn),Vietnam Airlines  Chuyến bay: VN270   Hạng vé : L,Người lớn,1,"1,999,000 VNĐ","849,000 VNĐ","2,848,000 VNĐ",10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:55:49
TP Hồ Chí Minh (SGN),"16:00, 01/04/2025",Hà Nội (HAN),"18:05, 01/04/2025",2 giờ 5 phút,Boeing 787 (máy bay lớn),Vietnam Airlines  Chuyến bay: VN216   Hạng vé : K,Người lớn,1,"2,209,000 VNĐ","866,000 VNĐ","3,075,000 VNĐ",10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:55:49
TP Hồ Chí Minh (SGN),"17:00, 01/04/2025",Hà Nội (HAN),"19:10, 01/04/2025",2 giờ 10 phút,Boeing 787 (máy bay lớn),Vietnam Airlines  Chuyến bay: VN254   Hạng vé : K,Người lớn,1,"2,209,000 VNĐ","866,000 VNĐ","3,075,000 VNĐ",10kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:55:50
TP Hồ Chí Minh (SGN),"04:55, 01/04/2025",Hà Nội (HAN),"07:05, 01/04/2025",2 giờ 10 phút,Máy bay: Airbus A321,Pacific Airlines  Chuyến bay: VN6002   Hạng vé : K,Người lớn,1,"2,209,000 VNĐ","866,000 VNĐ","3,075,000 VNĐ",7kg,23kg,"['- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên', '- Áp dụng đổi vé mất phí']",2025-03-31 08:55:51
TP Hồ Chí Minh (SGN),"21:25, 01/04/2025",Hà Nội (HAN),"23:25, 01/04/2025",2 giờ 0 phút,Máy bay: Airbus A320,Vietjet Air  Chuyến bay: VJ180   Hạng vé : I1_ECO,Người lớn,1,"1,440,000 VNĐ","820,000 VNĐ","2,260,000 VNĐ",7kg,Vui lòng chọn ở bước tiếp theo,"['- Áp dụng đổi vé mất phí', '- Áp dụng hoàn vé mất phí', '- Không áp dụng đổi tên']",2025-03-31 08:55:51
