Rating,Title,Full Review,Information,Service Ratings
1.0 of 5 bubbles,Don't do it,"Never again, 1st and last. 
Flight was booked for 12.45 pm flew out at 3pm. 
Booked and needed to get to my destination for a connecting flight.  Ran late for that and this caused me to much stress.",Date of travel: March 2025,"[{'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,"Used to be good, now terrible.","When this airline first started it was a very good airline. Since it has come under new managed, lead by Luong Hoai Nam, appointed on October 23, 2023, the airline declined and has terrible customer service and delays.  If you are a foreigner, expect to be charged for a name change, as they will read your first name as your middle name, due to Vietnamese passport putting middle names first on passports. Scam to make money off foreigners. Originally, VietJet were the worst Vietnamese airline, but I think Bamboo has taken that crown now. Avoid!",Date of travel: March 2025,
1.0 of 5 bubbles,BAD SERVICE; BAD AIRLINE.,"My original flight is starting at 15:10 then they’ve changed to 20:25 without any agreement.
They would love to changed the schedule of customers based on Bamboo’s  schedule even customer paid full of the service.😔",Date of travel: March 2025,
1.0 of 5 bubbles,Scam airlines - worse than VJ,"Scam airline for sure. They make a lot of money by charging people name. If you book your name short, they will charge for not matching documents. If your name is 100% matching, they will charge you for wrong name order. I was refused to check in due to wrong name. Came speak to customer service team on ground, asked him to point out mistake on my end as i didn’t understand why my name was wrong. He was looking through my phone for 10 minutes, couldn’t figure out why. He even asked to try booking a ticket again and show him everything. He clearly knew the mistake comes from the airline but he bluntly told me to either pay or not travel. Plus, I was at check in counter and staff couldn’t be bothered asking me if I confirmed travelling and they just closed the flight. And they refused to refund me the whole lot due to my fares even thought i wasn’t the one at fault. Don’t ever choose them.",Date of travel: March 2025,
1.0 of 5 bubbles,Avoid them,"Worst company and customer service. Stay clear and avoid them. They will bankrupt soon hopefully. No care for guests , just their money.",Date of travel: March 2025,
5.0 of 5 bubbles,OK budget airline,"Travelled from Ho Chi Minh to Nha Trang and back. 3 persons, the cheapest fare. They were strict on the carry on weight - it should not exceed 7kg for each item even if there's just 2 items but 3 persons travelling. As other reviewers suggested, I made sure the name on the ticket precisely matched the name on the passport, so no issues were had during check in. Everything went smooth and on time.

It's a budget airline so don't expect much, i.e. there were no charging USB ports on the plane. The planes are solid and the seats are comfy.",Date of travel: March 2025,"[{'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}]"
1.0 of 5 bubbles,Rip off,"We booked in flight from Uk to Vietnam in April 2023 , Bamboo informed us several months after our booking that they were no longer running this service. 
we are still waiting for our money back. It has been impossible to contact them. They send the odd email saying that the case is being looked into and thanking us for our patients. Not sure how we progress.",Date of travel: March 2024,
1.0 of 5 bubbles,Avoid if your o er 5 feet,I haven’t see. Cramped seating like this in years. I’m 5’6’ and the seat in front of me was hitting my knees.  This airlines is total bargain basement.,Date of travel: February 2025,
1.0 of 5 bubbles,Scam!!!,Worst airline. Force you to include the middle name and charge for that. Ridiculous!!! Scam for tourists. Never experienced that before.,Date of travel: January 2025,
1.0 of 5 bubbles,Bad experience at the airport by the bamboo airways staff,"We had a frustrating experience with Bamboo Airways due to the unprofessional behavior of their supervisor, Hoang Bao Ngoc. Our names were shortened on the ticket as suggested by their system, but instead of assisting us, the supervisor was rude, careless, and refused to communicate properly.

They wouldn’t speak with our travel agent despite the language barrier, causing unnecessary delays. In the end, we had to contact Bamboo Airways directly, and only then were we allowed to board—by which time we were already delayed for the only flight to Ho Chi Minh City. Very disappointing service!",Date of travel: February 2025,
