Rating,Title,Full Review,Information,Service Ratings
1.0 of 5 bubbles,Never fly with this airline again,"They weight your carry on at very last minute before boarding, and charge your money, No one will tell you at check in counter, feels like scammed. 
Don’t even have enough declaration form 
Staff not friendly",Date of travel: March 2025,
1.0 of 5 bubbles,Worse flight experience,"Worse experience, they made my last memory of Vietnam sour. I have flown with other budget airlines before so I understand baggage rule can be strict. But they weigh your carry on + personal items (including phone) + had my hoodie in a bag, bottle of water and snacks. They made me weight them and charged 800K dong. I told him I have my jumper, snacks and water and he didn't care and told me to include it on the weigh in. Later I wore my hoodie so it weight less, but my bottle of water and snacks made it go over 7kg. In hindsight I should have just thrown them in the bin. But I was just truly shock, because other budget airline lets you bring food/snacks without including it in the weigh in. It's a money grabbing airline, I understand it's a budget airline. But this is ridiculous. When I asked what my options are, I was told to either buy another plane ticket, check in my bag or pay 800K. I told him I can't check in my carry on because it contains a laptop. He then walked away and told me to not to be difficult. I didn't want to miss my flight because they weight your bags when you are about to board the plane and make you wait until everyone else is on board, so I just paid. Worse flight experience, never flying with Vietjet Air again.",Date of travel: March 2025,"[{'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Awful,"Awful experience, the flight was first delayed for 2 hours, the boarding took ages, and we were cramped in a bus for 40 minutes. They didn’t let us out before the vip people were let off. Not good service either. No free water, no entertainment and they only took cash.",Date of travel: March 2025,"[{'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Flight cancelled a day prior with no warning whatsoever,Flight cancelled the day before departure with no warning. Received an email about the cancellation over 2 weeks after it happened. Noone of the Airline was present at the Airport that day. If you value arriving at your destination DO NOT BOOK.,Date of travel: February 2025,
5.0 of 5 bubbles,Great experience with a local airline…,"Had nothing but a positive experience 

All check in & airside staff were smiley & wholeheartedly over & above customer focused for a (reasonable) budget airline.
Well worth the upgrade to ‘SkyBoss’ status,  for lots of reasons, see below for further details: 

The use of the Vista Lounge at HCMC airport, was well worth it alone, as beside the private bus to the stairs of the plane (domestic terminal, in this instance. Once past security, up one floor & on far left). 

Excellent buffet with ample selection of different dishes, with a compliments, also (hot & cold) drinks. 
With a mix of arm & dining chairs available for your comfort. 

Onboard- If you can really rave about airplane food, possibly the best I’ve had…(pre ordered when booked from UK prior to holiday). 
Clear safety demonstration & all staff very welcoming, well presented, smiley & pleasant throughout. 

A traveller’s tip- if you can do it… go business, premium economy or equivalent when can, when moving about the country… as even though it’s a few pennies more… you get a much smoother passage! 

I would certainly fly this airline again, if need arose. All round (wonderful)  experience.",Date of travel: March 2025,"[{'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '5.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
2.0 of 5 bubbles,At least we arrived safely,"One of the flight crew fell asleep during takeoff. Everyone could see it since he was sitting by the emergency exit in the middle. Didn't exactly feel very safe. Woke up when the seatbelt could be undone. We arrived safely, at least.",Date of travel: March 2025,"[{'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Worst Airline in the whole Omniverse,This airline has a stupid rule of having the middle name compulsory. In the website it is clearly shown that middle name is optional but at the airport they are saying it is compulsory and we were supposed to pay $20 fees to change it. I wouldn’t encourage people to travel with this airline. Clearly terrible airline. East or west emirates is the best.,Date of travel: March 2025,
1.0 of 5 bubbles,Vietjet review,"There’s no space to fill out middle name so when you fly domestic they will charge you 5USD to add middle name, all flights always delayed, I’ve seen kids in starving villages work harder than these guys",Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '3.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,Bad airline. I lost money because of them. Not worth it.,"We had two flights on VietJet. One from Saigon to Danang. Although they gave us a hard time at the airport and made us check in our carry ons and made us pay for a name change (which I swear was their fault), the flight was on time and uneventful. But our flight from Hue to Hanoi a few days later has a schedule change of over 4 hours. That did not work with our plans, and understanding I would get a refund, I bought a new flight on Vietnam Airlines. That flight was not only cheaper, but a much better airline with nice planes, free beverage on board and comfortable seats. And now they only offer me a credit, not a refund. What good is a credit for me? I would recommend no on use VietJet.",Date of travel: March 2025,
1.0 of 5 bubbles,"BAD Customer Experience, SLIGHT delay","Worst Customer service I have ever encountered. I’m not sure if they were taught NOT to smile in their hospitality degree or school. 

All Passengers were sweating their hair off and upon asking the hostess, she responds without an apology that when the plane takes off aircon will turn on and you will feel cooler. 

Not looking forward to our flight back home to Sydney with this Airlines",Date of travel: March 2025,"[{'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '4.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
1.0 of 5 bubbles,"Find a different option, or prepare for massive delays","The flight itself was short, and as expected.  However....the check in process this company uses is archaic and completely inefficient.  We arrived with a 2 hour window, and scarcely made the flight.  The lineup was huge and slow, and when we got to the counter we could see why.  Passports were being checked against ticket bookings character by character.  More than once.   Additionally, after all that, you had to pay for your baggage at the counter, because there was no option to do it online beforehand.  
If you have no other option but to fly with with airline (which was our case), you need an absolute minimum of 2 hours, and I would recommend 3 hours to be safe, in order to navigate the horrendous lineups and delays caused by their system.",Date of travel: February 2025,
1.0 of 5 bubbles,ahemdabad to hanoi flight - worst vietjet,"worst flight experience,
airlines staff was well educated by airline management, how to trap the passangers, point out silly things & make money out of t, while giving boarding pass.",Date of travel: March 2025,"[{'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Legroom'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Seat comfort'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'In-flight Entertainment'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Customer service'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Value for money'}, {'Service Rating': '2.0 of 5 bubbles', 'Service Info': 'Cleanliness'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Check-in and boarding'}, {'Service Rating': '1.0 of 5 bubbles', 'Service Info': 'Food and Beverage'}]"
